q_bits,n,k,rho,mode,m,ell,s,coset_count,cosets_chosen,radius,log2_list_lower_bound,log2_budget,log2_margin,beats_budget,delta_entropy,delta_volume_grid,capacity_gap,below_capacity
64.0,1024,64,0.0625,folded,1,128,128,8,1,0.875,3.0000000000000004,-64.0,67.0,True,0.9308559157362345,0.9306640625,0.055855915736234496,True
64.0,4096,256,0.0625,folded,1,512,512,8,1,0.875,3.0000000000000004,-64.0,67.0,True,0.931634048426315,0.931640625,0.05663404842631503,True
64.0,65536,4096,0.0625,folded,1,8192,8192,8,1,0.875,3.0000000000000004,-64.0,67.0,True,0.9318772614813919,0.9318695068359375,0.05687726148139194,True
64.0,1048576,65536,0.0625,folded,1,131072,131072,8,1,0.875,3.0000000000000004,-64.0,67.0,True,0.9318924630376993,0.9318923950195312,0.05689246303769935,True
128.0,1024,64,0.0625,folded,1,128,128,8,1,0.875,3.0000000000000004,0.0,3.0000000000000004,True,0.934782682580009,0.9345703125,0.05978268258000896,True
128.0,4096,256,0.0625,folded,1,512,512,8,1,0.875,3.0000000000000004,0.0,3.0000000000000004,True,0.934782682580009,0.9345703125,0.05978268258000896,True
128.0,65536,4096,0.0625,folded,1,8192,8192,8,1,0.875,3.0000000000000004,0.0,3.0000000000000004,True,0.934782682580009,0.9347686767578125,0.05978268258000896,True
128.0,1048576,65536,0.0625,folded,1,131072,131072,8,1,0.875,3.0000000000000004,0.0,3.0000000000000004,True,0.934782682580009,0.9347820281982422,0.05978268258000896,True
64.0,1024,64,0.0625,folded,1,256,256,4,1,0.75,1.9999999999999984,-64.0,66.0,True,0.9308559157362345,0.9306640625,0.1808559157362345,True
64.0,1024,128,0.125,folded,1,256,256,4,1,0.75,1.9999999999999984,-64.0,66.0,True,0.8651061167968959,0.8642578125,0.11510611679689586,True
64.0,4096,256,0.0625,folded,1,1024,1024,4,1,0.75,1.9999999999999984,-64.0,66.0,True,0.931634048426315,0.931640625,0.18163404842631503,True
64.0,4096,512,0.125,folded,1,1024,1024,4,1,0.75,1.9999999999999984,-64.0,66.0,True,0.8658706214114884,0.86572265625,0.1158706214114884,True
64.0,65536,4096,0.0625,folded,1,16384,16384,4,1,0.75,1.9999999999999984,-64.0,66.0,True,0.9318772614813919,0.9318695068359375,0.18187726148139194,True
64.0,65536,8192,0.125,folded,1,16384,16384,4,1,0.75,1.9999999999999984,-64.0,66.0,True,0.8661095533636478,0.8661041259765625,0.11610955336364781,True
64.0,1048576,65536,0.0625,folded,1,262144,262144,4,1,0.75,1.9999999999999984,-64.0,66.0,True,0.9318924630376993,0.9318923950195312,0.18189246303769935,True
64.0,1048576,131072,0.125,folded,1,262144,262144,4,1,0.75,1.9999999999999984,-64.0,66.0,True,0.8661244869951342,0.866124153137207,0.11612448699513422,True
128.0,1024,64,0.0625,folded,1,256,256,4,1,0.75,1.9999999999999984,0.0,1.9999999999999984,True,0.934782682580009,0.9345703125,0.18478268258000896,True
128.0,1024,128,0.125,folded,1,256,256,4,1,0.75,1.9999999999999984,0.0,1.9999999999999984,True,0.8706591588736786,0.8701171875,0.12065915887367862,True
128.0,4096,256,0.0625,folded,1,1024,1024,4,1,0.75,1.9999999999999984,0.0,1.9999999999999984,True,0.934782682580009,0.9345703125,0.18478268258000896,True
128.0,4096,512,0.125,folded,1,1024,1024,4,1,0.75,1.9999999999999984,0.0,1.9999999999999984,True,0.8706591588736786,0.87060546875,0.12065915887367862,True
128.0,65536,4096,0.0625,folded,1,16384,16384,4,1,0.75,1.9999999999999984,0.0,1.9999999999999984,True,0.934782682580009,0.9347686767578125,0.18478268258000896,True
128.0,65536,8192,0.125,folded,1,16384,16384,4,1,0.75,1.9999999999999984,0.0,1.9999999999999984,True,0.8706591588736786,0.8706512451171875,0.12065915887367862,True
128.0,1048576,65536,0.0625,folded,1,262144,262144,4,1,0.75,1.9999999999999984,0.0,1.9999999999999984,True,0.934782682580009,0.9347820281982422,0.18478268258000896,True
128.0,1048576,131072,0.125,folded,1,262144,262144,4,1,0.75,1.9999999999999984,0.0,1.9999999999999984,True,0.8706591588736786,0.8706588745117188,0.12065915887367862,True
64.0,1024,64,0.0625,folded,1,512,512,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.9308559157362345,0.9306640625,0.4308559157362345,True
64.0,1024,128,0.125,folded,1,512,512,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.8651061167968959,0.8642578125,0.36510611679689586,True
64.0,1024,256,0.25,folded,1,512,512,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.7360124336649649,0.7353515625,0.23601243366496494,True
64.0,4096,256,0.0625,folded,1,2048,2048,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.931634048426315,0.931640625,0.43163404842631503,True
64.0,4096,512,0.125,folded,1,2048,2048,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.8658706214114884,0.86572265625,0.3658706214114884,True
64.0,4096,1024,0.25,folded,1,2048,2048,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.7367622182726765,0.736572265625,0.23676221827267652,True
64.0,65536,4096,0.0625,folded,1,32768,32768,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.9318772614813919,0.9318695068359375,0.43187726148139194,True
64.0,65536,8192,0.125,folded,1,32768,32768,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.8661095533636478,0.8661041259765625,0.3661095533636478,True
64.0,65536,16384,0.25,folded,1,32768,32768,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.7369965396757034,0.7369842529296875,0.23699653967570344,True
64.0,1048576,65536,0.0625,folded,1,524288,524288,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.9318924630376993,0.9318923950195312,0.43189246303769935,True
64.0,1048576,131072,0.125,folded,1,524288,524288,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.8661244869951342,0.866124153137207,0.3661244869951342,True
64.0,1048576,262144,0.25,folded,1,524288,524288,2,1,0.5,0.9999999999999996,-64.0,65.0,True,0.7370111849804128,0.7370109558105469,0.23701118498041285,True
128.0,1024,64,0.0625,folded,1,512,512,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.934782682580009,0.9345703125,0.43478268258000896,True
128.0,1024,128,0.125,folded,1,512,512,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.8706591588736786,0.8701171875,0.3706591588736786,True
128.0,1024,256,0.25,folded,1,512,512,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.7435836697551828,0.7431640625,0.24358366975518275,True
128.0,4096,256,0.0625,folded,1,2048,2048,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.934782682580009,0.9345703125,0.43478268258000896,True
128.0,4096,512,0.125,folded,1,2048,2048,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.8706591588736786,0.87060546875,0.3706591588736786,True
128.0,4096,1024,0.25,folded,1,2048,2048,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.7435836697551828,0.743408203125,0.24358366975518275,True
128.0,65536,4096,0.0625,folded,1,32768,32768,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.934782682580009,0.9347686767578125,0.43478268258000896,True
128.0,65536,8192,0.125,folded,1,32768,32768,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.8706591588736786,0.8706512451171875,0.3706591588736786,True
128.0,65536,16384,0.25,folded,1,32768,32768,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.7435836697551828,0.7435760498046875,0.24358366975518275,True
128.0,1048576,65536,0.0625,folded,1,524288,524288,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.934782682580009,0.9347820281982422,0.43478268258000896,True
128.0,1048576,131072,0.125,folded,1,524288,524288,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.8706591588736786,0.8706588745117188,0.3706591588736786,True
128.0,1048576,262144,0.25,folded,1,524288,524288,2,1,0.5,0.9999999999999996,0.0,0.9999999999999996,True,0.7435836697551828,0.7435836791992188,0.24358366975518275,True
64.0,1024,64,0.0625,folded,1,1024,1024,1,1,0.0,0.0,-64.0,64.0,True,0.9308559157362345,0.9306640625,0.9308559157362345,True
64.0,1024,128,0.125,folded,1,1024,1024,1,1,0.0,0.0,-64.0,64.0,True,0.8651061167968959,0.8642578125,0.8651061167968959,True
64.0,1024,256,0.25,folded,1,1024,1024,1,1,0.0,0.0,-64.0,64.0,True,0.7360124336649649,0.7353515625,0.7360124336649649,True
64.0,1024,512,0.5,folded,1,1024,1024,1,1,0.0,0.0,-64.0,64.0,True,0.48341084695460224,0.4833984375,0.48341084695460224,True
64.0,4096,256,0.0625,folded,1,4096,4096,1,1,0.0,0.0,-64.0,64.0,True,0.931634048426315,0.931640625,0.931634048426315,True
64.0,4096,512,0.125,folded,1,4096,4096,1,1,0.0,0.0,-64.0,64.0,True,0.8658706214114884,0.86572265625,0.8658706214114884,True
64.0,4096,1024,0.25,folded,1,4096,4096,1,1,0.0,0.0,-64.0,64.0,True,0.7367622182726765,0.736572265625,0.7367622182726765,True
64.0,4096,2048,0.5,folded,1,4096,4096,1,1,0.0,0.0,-64.0,64.0,True,0.48414219859916463,0.484130859375,0.48414219859916463,True
64.0,65536,4096,0.0625,folded,1,65536,65536,1,1,0.0,0.0,-64.0,64.0,True,0.9318772614813919,0.9318695068359375,0.9318772614813919,True
64.0,65536,8192,0.125,folded,1,65536,65536,1,1,0.0,0.0,-64.0,64.0,True,0.8661095533636478,0.8661041259765625,0.8661095533636478,True
64.0,65536,16384,0.25,folded,1,65536,65536,1,1,0.0,0.0,-64.0,64.0,True,0.7369965396757034,0.7369842529296875,0.7369965396757034,True
64.0,65536,32768,0.5,folded,1,65536,65536,1,1,0.0,0.0,-64.0,64.0,True,0.48437075587501005,0.4843597412109375,0.48437075587501005,True
64.0,1048576,65536,0.0625,folded,1,1048576,1048576,1,1,0.0,0.0,-64.0,64.0,True,0.9318924630376993,0.9318923950195312,0.9318924630376993,True
64.0,1048576,131072,0.125,folded,1,1048576,1048576,1,1,0.0,0.0,-64.0,64.0,True,0.8661244869951342,0.866124153137207,0.8661244869951342,True
64.0,1048576,262144,0.25,folded,1,1048576,1048576,1,1,0.0,0.0,-64.0,64.0,True,0.7370111849804128,0.7370109558105469,0.7370111849804128,True
64.0,1048576,524288,0.5,folded,1,1048576,1048576,1,1,0.0,0.0,-64.0,64.0,True,0.48438504086107986,0.48438453674316406,0.48438504086107986,True
192.0,1024,64,0.0625,folded,1,128,128,8,1,0.875,3.0000000000000004,64.0,-61.0,False,0.9360392129149483,0.935546875,0.06103921291494829,True
192.0,4096,256,0.0625,folded,1,512,512,8,1,0.875,3.0000000000000004,64.0,-61.0,False,0.935790052338976,0.935791015625,0.06079005233897605,True
192.0,65536,4096,0.0625,folded,1,8192,8192,8,1,0.875,3.0000000000000004,64.0,-61.0,False,0.9357121912851286,0.935699462890625,0.060712191285128614,True
192.0,1048576,65536,0.0625,folded,1,131072,131072,8,1,0.875,3.0000000000000004,64.0,-61.0,False,0.9357073249949318,0.9357070922851562,0.06070732499493181,True
256.0,1024,64,0.0625,folded,1,128,128,8,1,0.875,3.0000000000000004,128.0,-125.0,False,0.9366579247292806,0.9365234375,0.061657924729280555,True
256.0,4096,256,0.0625,folded,1,512,512,8,1,0.875,3.0000000000000004,128.0,-125.0,False,0.9362860753740551,0.936279296875,0.06128607537405506,True
256.0,65536,4096,0.0625,folded,1,8192,8192,8,1,0.875,3.0000000000000004,128.0,-125.0,False,0.9361698751739443,0.9361572265625,0.061169875173944344,True
256.0,1048576,65536,0.0625,folded,1,131072,131072,8,1,0.875,3.0000000000000004,128.0,-125.0,False,0.936162612704391,0.936161994934082,0.06116261270439105,True
192.0,1024,64,0.0625,folded,1,256,256,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.9360392129149483,0.935546875,0.1860392129149483,True
192.0,1024,128,0.125,folded,1,256,256,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.8724575012944624,0.8720703125,0.12245750129446242,True
192.0,4096,256,0.0625,folded,1,1024,1024,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.935790052338976,0.935791015625,0.18579005233897605,True
192.0,4096,512,0.125,folded,1,1024,1024,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.8722097835977269,0.8720703125,0.12220978359772694,True
192.0,65536,4096,0.0625,folded,1,16384,16384,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.9357121912851286,0.935699462890625,0.1857121912851286,True
192.0,65536,8192,0.125,folded,1,16384,16384,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.8721323726786177,0.87213134765625,0.12213237267861765,True
192.0,1048576,65536,0.0625,folded,1,262144,262144,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.9357073249949318,0.9357070922851562,0.1857073249949318,True
192.0,1048576,131072,0.125,folded,1,262144,262144,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.8721275345097782,0.8721275329589844,0.1221275345097782,True
256.0,1024,64,0.0625,folded,1,256,256,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.9366579247292806,0.9365234375,0.18665792472928056,True
256.0,1024,128,0.125,folded,1,256,256,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.8733469247760021,0.873046875,0.12334692477600206,True
256.0,4096,256,0.0625,folded,1,1024,1024,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.9362860753740551,0.936279296875,0.18628607537405506,True
256.0,4096,512,0.125,folded,1,1024,1024,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.8729766885897646,0.872802734375,0.12297668858976463,True
256.0,65536,4096,0.0625,folded,1,16384,16384,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.9361698751739443,0.9361572265625,0.18616987517394434,True
256.0,65536,8192,0.125,folded,1,16384,16384,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.872860991226721,0.8728485107421875,0.122860991226721,True
256.0,1048576,65536,0.0625,folded,1,262144,262144,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.936162612704391,0.936161994934082,0.18616261270439105,True
256.0,1048576,131072,0.125,folded,1,262144,262144,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.8728537601643543,0.8728532791137695,0.12285376016435434,True
192.0,1024,64,0.0625,folded,1,512,512,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.9360392129149483,0.935546875,0.4360392129149483,True
192.0,1024,128,0.125,folded,1,512,512,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.8724575012944624,0.8720703125,0.3724575012944624,True
192.0,1024,256,0.25,folded,1,512,512,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.746067963647786,0.74609375,0.24606796364778605,True
192.0,4096,256,0.0625,folded,1,2048,2048,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.935790052338976,0.935791015625,0.43579005233897605,True
192.0,4096,512,0.125,folded,1,2048,2048,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.8722097835977269,0.8720703125,0.37220978359772694,True
192.0,4096,1024,0.25,folded,1,2048,2048,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.7458218309792201,0.74560546875,0.24582183097922006,True
192.0,65536,4096,0.0625,folded,1,32768,32768,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.9357121912851286,0.935699462890625,0.4357121912851286,True
192.0,65536,8192,0.125,folded,1,32768,32768,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.8721323726786177,0.87213134765625,0.37213237267861765,True
192.0,65536,16384,0.25,folded,1,32768,32768,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.745744915016825,0.7457427978515625,0.24574491501682505,True
192.0,1048576,65536,0.0625,folded,1,524288,524288,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.9357073249949318,0.9357070922851562,0.4357073249949318,True
192.0,1048576,131072,0.125,folded,1,524288,524288,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.8721275345097782,0.8721275329589844,0.3721275345097782,True
192.0,1048576,262144,0.25,folded,1,524288,524288,2,1,0.5,0.9999999999999996,64.0,-63.0,False,0.7457401077770237,0.7457399368286133,0.2457401077770237,True
256.0,1024,64,0.0625,folded,1,512,512,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.9366579247292806,0.9365234375,0.43665792472928056,True
256.0,1024,128,0.125,folded,1,512,512,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.8733469247760021,0.873046875,0.37334692477600206,True
256.0,1024,256,0.25,folded,1,512,512,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.7473026350697548,0.7470703125,0.2473026350697548,True
256.0,4096,256,0.0625,folded,1,2048,2048,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.9362860753740551,0.936279296875,0.43628607537405506,True
256.0,4096,512,0.125,folded,1,2048,2048,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.8729766885897646,0.872802734375,0.3729766885897646,True
256.0,4096,1024,0.25,folded,1,2048,2048,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.7469341746888621,0.746826171875,0.24693417468886214,True
256.0,65536,4096,0.0625,folded,1,32768,32768,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.9361698751739443,0.9361572265625,0.43616987517394434,True
256.0,65536,8192,0.125,folded,1,32768,32768,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.872860991226721,0.8728485107421875,0.372860991226721,True
256.0,65536,16384,0.25,folded,1,32768,32768,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.7468190316551883,0.7468109130859375,0.24681903165518826,True
256.0,1048576,65536,0.0625,folded,1,524288,524288,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.936162612704391,0.936161994934082,0.43616261270439105,True
256.0,1048576,131072,0.125,folded,1,524288,524288,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.8728537601643543,0.8728532791137695,0.37285376016435434,True
256.0,1048576,262144,0.25,folded,1,524288,524288,2,1,0.5,0.9999999999999996,128.0,-127.0,False,0.7468118352287857,0.7468118667602539,0.2468118352287857,True
128.0,1024,64,0.0625,folded,1,1024,1024,1,1,0.0,0.0,0.0,0.0,False,0.934782682580009,0.9345703125,0.934782682580009,True
128.0,1024,128,0.125,folded,1,1024,1024,1,1,0.0,0.0,0.0,0.0,False,0.8706591588736786,0.8701171875,0.8706591588736786,True
128.0,1024,256,0.25,folded,1,1024,1024,1,1,0.0,0.0,0.0,0.0,False,0.7435836697551828,0.7431640625,0.7435836697551828,True
128.0,1024,512,0.5,folded,1,1024,1024,1,1,0.0,0.0,0.0,0.0,False,0.492188875432744,0.4921875,0.492188875432744,True
128.0,4096,256,0.0625,folded,1,4096,4096,1,1,0.0,0.0,0.0,0.0,False,0.934782682580009,0.9345703125,0.934782682580009,True
128.0,4096,512,0.125,folded,1,4096,4096,1,1,0.0,0.0,0.0,0.0,False,0.8706591588736786,0.87060546875,0.8706591588736786,True
128.0,4096,1024,0.25,folded,1,4096,4096,1,1,0.0,0.0,0.0,0.0,False,0.7435836697551828,0.743408203125,0.7435836697551828,True
128.0,4096,2048,0.5,folded,1,4096,4096,1,1,0.0,0.0,0.0,0.0,False,0.492188875432744,0.4921875,0.492188875432744,True
128.0,65536,4096,0.0625,folded,1,65536,65536,1,1,0.0,0.0,0.0,0.0,False,0.934782682580009,0.9347686767578125,0.934782682580009,True
128.0,65536,8192,0.125,folded,1,65536,65536,1,1,0.0,0.0,0.0,0.0,False,0.8706591588736786,0.8706512451171875,0.8706591588736786,True
128.0,65536,16384,0.25,folded,1,65536,65536,1,1,0.0,0.0,0.0,0.0,False,0.7435836697551828,0.7435760498046875,0.7435836697551828,True
128.0,65536,32768,0.5,folded,1,65536,65536,1,1,0.0,0.0,0.0,0.0,False,0.492188875432744,0.4921875,0.492188875432744,True
128.0,1048576,65536,0.0625,folded,1,1048576,1048576,1,1,0.0,0.0,0.0,0.0,False,0.934782682580009,0.9347820281982422,0.934782682580009,True
128.0,1048576,131072,0.125,folded,1,1048576,1048576,1,1,0.0,0.0,0.0,0.0,False,0.8706591588736786,0.8706588745117188,0.8706591588736786,True
128.0,1048576,262144,0.25,folded,1,1048576,1048576,1,1,0.0,0.0,0.0,0.0,False,0.7435836697551828,0.7435836791992188,0.7435836697551828,True
128.0,1048576,524288,0.5,folded,1,1048576,1048576,1,1,0.0,0.0,0.0,0.0,False,0.492188875432744,0.4921884536743164,0.492188875432744,True
192.0,1024,64,0.0625,folded,1,1024,1024,1,1,0.0,0.0,64.0,-64.0,False,0.9360392129149483,0.935546875,0.9360392129149483,True
192.0,1024,128,0.125,folded,1,1024,1024,1,1,0.0,0.0,64.0,-64.0,False,0.8724575012944624,0.8720703125,0.8724575012944624,True
192.0,1024,256,0.25,folded,1,1024,1024,1,1,0.0,0.0,64.0,-64.0,False,0.746067963647786,0.74609375,0.746067963647786,True
192.0,1024,512,0.5,folded,1,1024,1024,1,1,0.0,0.0,64.0,-64.0,False,0.49511754575030853,0.4951171875,0.49511754575030853,True
192.0,4096,256,0.0625,folded,1,4096,4096,1,1,0.0,0.0,64.0,-64.0,False,0.935790052338976,0.935791015625,0.935790052338976,True
192.0,4096,512,0.125,folded,1,4096,4096,1,1,0.0,0.0,64.0,-64.0,False,0.8722097835977269,0.8720703125,0.8722097835977269,True
192.0,4096,1024,0.25,folded,1,4096,4096,1,1,0.0,0.0,64.0,-64.0,False,0.7458218309792201,0.74560546875,0.7458218309792201,True
192.0,4096,2048,0.5,folded,1,4096,4096,1,1,0.0,0.0,64.0,-64.0,False,0.4948734418437108,0.494873046875,0.4948734418437108,True
192.0,65536,4096,0.0625,folded,1,65536,65536,1,1,0.0,0.0,64.0,-64.0,False,0.9357121912851286,0.935699462890625,0.9357121912851286,True
192.0,65536,8192,0.125,folded,1,65536,65536,1,1,0.0,0.0,64.0,-64.0,False,0.8721323726786177,0.87213134765625,0.8721323726786177,True
192.0,65536,16384,0.25,folded,1,65536,65536,1,1,0.0,0.0,64.0,-64.0,False,0.745744915016825,0.7457427978515625,0.745744915016825,True
192.0,65536,32768,0.5,folded,1,65536,65536,1,1,0.0,0.0,64.0,-64.0,False,0.4947971597401634,0.4947967529296875,0.4947971597401634,True
192.0,1048576,65536,0.0625,folded,1,1048576,1048576,1,1,0.0,0.0,64.0,-64.0,False,0.9357073249949318,0.9357070922851562,0.9357073249949318,True
192.0,1048576,131072,0.125,folded,1,1048576,1048576,1,1,0.0,0.0,64.0,-64.0,False,0.8721275345097782,0.8721275329589844,0.8721275345097782,True
192.0,1048576,262144,0.25,folded,1,1048576,1048576,1,1,0.0,0.0,64.0,-64.0,False,0.7457401077770237,0.7457399368286133,0.7457401077770237,True
192.0,1048576,524288,0.5,folded,1,1048576,1048576,1,1,0.0,0.0,64.0,-64.0,False,0.4947923921144985,0.49479198455810547,0.4947923921144985,True
256.0,1024,64,0.0625,folded,1,1024,1024,1,1,0.0,0.0,128.0,-128.0,False,0.9366579247292806,0.9365234375,0.9366579247292806,True
256.0,1024,128,0.125,folded,1,1024,1024,1,1,0.0,0.0,128.0,-128.0,False,0.8733469247760021,0.873046875,0.8733469247760021,True
256.0,1024,256,0.25,folded,1,1024,1024,1,1,0.0,0.0,128.0,-128.0,False,0.7473026350697548,0.7470703125,0.7473026350697548,True
256.0,1024,512,0.5,folded,1,1024,1024,1,1,0.0,0.0,128.0,-128.0,False,0.4965821629150981,0.49609375,0.4965821629150981,True
256.0,4096,256,0.0625,folded,1,4096,4096,1,1,0.0,0.0,128.0,-128.0,False,0.9362860753740551,0.936279296875,0.9362860753740551,True
256.0,4096,512,0.125,folded,1,4096,4096,1,1,0.0,0.0,128.0,-128.0,False,0.8729766885897646,0.872802734375,0.8729766885897646,True
256.0,4096,1024,0.25,folded,1,4096,4096,1,1,0.0,0.0,128.0,-128.0,False,0.7469341746888621,0.746826171875,0.7469341746888621,True
256.0,4096,2048,0.5,folded,1,4096,4096,1,1,0.0,0.0,128.0,-128.0,False,0.49621598170196085,0.49609375,0.49621598170196085,True
256.0,65536,4096,0.0625,folded,1,65536,65536,1,1,0.0,0.0,128.0,-128.0,False,0.9361698751739443,0.9361572265625,0.9361698751739443,True
256.0,65536,8192,0.125,folded,1,65536,65536,1,1,0.0,0.0,128.0,-128.0,False,0.872860991226721,0.8728485107421875,0.872860991226721,True
256.0,65536,16384,0.25,folded,1,65536,65536,1,1,0.0,0.0,128.0,-128.0,False,0.7468190316551883,0.7468109130859375,0.7468190316551883,True
256.0,65536,32768,0.5,folded,1,65536,65536,1,1,0.0,0.0,128.0,-128.0,False,0.49610155069271267,0.49609375,0.49610155069271267,True
256.0,1048576,65536,0.0625,folded,1,1048576,1048576,1,1,0.0,0.0,128.0,-128.0,False,0.936162612704391,0.936161994934082,0.936162612704391,True
256.0,1048576,131072,0.125,folded,1,1048576,1048576,1,1,0.0,0.0,128.0,-128.0,False,0.8728537601643543,0.8728532791137695,0.8728537601643543,True
256.0,1048576,262144,0.25,folded,1,1048576,1048576,1,1,0.0,0.0,128.0,-128.0,False,0.7468118352287857,0.7468118667602539,0.7468118352287857,True
256.0,1048576,524288,0.5,folded,1,1048576,1048576,1,1,0.0,0.0,128.0,-128.0,False,0.4960943987644352,0.49609375,0.4960943987644352,True
