pattern_signature,occurrences,max_count,max_generic_ratio,p_values,n_values,domain_types,best_parameters
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=4;b_minus_a_raw=4;b_mod_p_minus_1=4;b_raw=4;lambda=1;pattern_center_type=binomial;pattern_domain_group=random,27,3,3.0,97 193,8 12 16,random,a=0;b=4;lambda=1
exponent_mod_p_minus_1=4;exponent_raw=4;pattern_center_type=monomial;pattern_domain_group=random,23,3,3.0,97 193,8 12 16,random,exponent=4
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=4;b_minus_a_raw=4;b_mod_p_minus_1=4;b_raw=4;c_minus_b_mod_p_minus_1=93;c_minus_b_raw=-3;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,18,4,3.0,97,8 12 16,random,c=1;a=0;b=4;lambda=1
a_mod_p_minus_1=2;a_raw=2;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=4;b_raw=4;lambda=1;pattern_center_type=binomial;pattern_domain_group=random,16,3,3.0,97 193,8 12 16,random,a=2;b=4;lambda=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=2;b_raw=2;c_minus_b_mod_p_minus_1=2;c_minus_b_raw=2;c_mod_p_minus_1=4;c_raw=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=random,15,3,3.0,97 193,8 12 16,random,a=0;b=2;c=4;lambda1=1;lambda2=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=3;b_minus_a_raw=3;b_mod_p_minus_1=3;b_raw=3;lambda=1;pattern_center_type=binomial;pattern_domain_group=random,13,3,3.0,97 193,6 8 12 16,random,a=0;b=3;lambda=1
a_mod_p_minus_1=2;a_raw=2;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=4;b_raw=4;c_minus_b_mod_p_minus_1=93;c_minus_b_raw=-3;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,12,3,3.0,97,8 12 16,random,c=1;a=2;b=4;lambda=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=3;b_minus_a_raw=3;b_mod_p_minus_1=3;b_raw=3;c_minus_b_mod_p_minus_1=94;c_minus_b_raw=-2;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,12,3,3.0,97,6 8 12 16,random,c=1;a=0;b=3;lambda=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=2;b_raw=2;c_minus_b_mod_p_minus_1=2;c_minus_b_raw=2;c_mod_p_minus_1=4;c_raw=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=random,11,4,2.0,97 193,8 12 16,random,a=1;b=2;c=4;lambda1=1;lambda2=1
exponent_mod_p_minus_1=3;exponent_raw=3;pattern_center_type=monomial;pattern_domain_group=random,10,3,3.0,97 193,6 8 12 16,random,exponent=3
a_mod_p_minus_1=2;a_raw=2;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=3;b_raw=3;c_minus_b_mod_p_minus_1=1;c_minus_b_raw=1;c_mod_p_minus_1=4;c_raw=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=random,10,3,2.0,97 193,8 12 16,random,a=2;b=3;c=4;lambda1=1;lambda2=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=3;b_minus_a_raw=3;b_mod_p_minus_1=4;b_raw=4;lambda=1;pattern_center_type=binomial;pattern_domain_group=random,9,3,2.0,97 193,8 12 16,random,a=1;b=4;lambda=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=1;b_raw=1;c_minus_b_mod_p_minus_1=3;c_minus_b_raw=3;c_mod_p_minus_1=4;c_raw=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=random,9,3,2.0,97 193,8 12 16,random,a=0;b=1;c=4;lambda1=1;lambda2=1
a_mod_p_minus_1=3;a_raw=3;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=4;b_raw=4;lambda=1;pattern_center_type=binomial;pattern_domain_group=random,9,4,0.7797979797979797,97 193,12 16,random,a=3;b=4;lambda=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=3;b_minus_a_raw=3;b_mod_p_minus_1=3;b_raw=3;c_minus_b_mod_p_minus_1=1;c_minus_b_raw=1;c_mod_p_minus_1=4;c_raw=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=random,8,3,0.7797979797979797,97 193,12 16,random,a=0;b=3;c=4;lambda1=1;lambda2=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=3;b_raw=3;c_minus_b_mod_p_minus_1=1;c_minus_b_raw=1;c_mod_p_minus_1=4;c_raw=4;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=random,8,2,0.7797979797979797,97 193,12 16,random,a=1;b=3;c=4;lambda1=1;lambda2=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=3;b_minus_a_raw=3;b_mod_p_minus_1=4;b_raw=4;c_minus_b_mod_p_minus_1=93;c_minus_b_raw=-3;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,7,4,2.0,97,8 12,random,c=1;a=1;b=4;lambda=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=4;b_minus_a_raw=4;b_mod_p_minus_1=4;b_raw=4;c_minus_b_mod_p_minus_1=189;c_minus_b_raw=-3;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,6,3,3.0,193,8 12 16,random,c=1;a=0;b=4;lambda=1
a_mod_p_minus_1=2;a_raw=2;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=3;b_raw=3;lambda=1;pattern_center_type=binomial;pattern_domain_group=random,6,2,2.0,97 193,8 16,random,a=2;b=3;lambda=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=2;b_raw=2;c_minus_b_mod_p_minus_1=1;c_minus_b_raw=1;c_mod_p_minus_1=3;c_raw=3;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=random,5,4,2.0,97,8 16,random,a=1;b=2;c=3;lambda1=1;lambda2=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=1;b_raw=1;c_minus_b_mod_p_minus_1=2;c_minus_b_raw=2;c_mod_p_minus_1=3;c_raw=3;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=random,5,2,0.6892857142857143,97 193,16,random,a=0;b=1;c=3;lambda1=1;lambda2=1
a_mod_p_minus_1=3;a_raw=3;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=4;b_raw=4;c_minus_b_mod_p_minus_1=93;c_minus_b_raw=-3;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,4,2,0.39191919191919194,97,12 16,random,c=1;a=3;b=4;lambda=1
exponent_mod_p_minus_1=2;exponent_raw=2;pattern_center_type=monomial;pattern_domain_group=random,3,3,3.0,97,8 12,random,exponent=2
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=2;b_raw=2;lambda=1;pattern_center_type=binomial;pattern_domain_group=random,3,3,3.0,97,8 12,random,a=0;b=2;lambda=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=2;b_raw=2;c_minus_b_mod_p_minus_1=95;c_minus_b_raw=-1;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,3,3,3.0,97,8 12,random,c=1;a=0;b=2;lambda=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=3;b_minus_a_raw=3;b_mod_p_minus_1=3;b_raw=3;c_minus_b_mod_p_minus_1=190;c_minus_b_raw=-2;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,3,2,2.0,193,12 16,random,c=1;a=0;b=3;lambda=1
a_mod_p_minus_1=2;a_raw=2;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=3;b_raw=3;c_minus_b_mod_p_minus_1=94;c_minus_b_raw=-2;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,2,2,2.0,97,8 16,random,c=1;a=2;b=3;lambda=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=2;b_raw=2;c_minus_b_mod_p_minus_1=1;c_minus_b_raw=1;c_mod_p_minus_1=3;c_raw=3;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=random,2,2,2.0,97,8 16,random,a=0;b=2;c=3;lambda1=1;lambda2=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=2;b_raw=2;lambda=1;pattern_center_type=binomial;pattern_domain_group=random,2,2,2.0,97,12,random,a=1;b=2;lambda=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=2;b_raw=2;c_minus_b_mod_p_minus_1=95;c_minus_b_raw=-1;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,2,2,2.0,97,12,random,c=1;a=1;b=2;lambda=1
a_mod_p_minus_1=0;a_raw=0;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=1;b_raw=1;c_minus_b_mod_p_minus_1=1;c_minus_b_raw=1;c_mod_p_minus_1=2;c_raw=2;lambda1=1;lambda2=1;pattern_center_type=trinomial;pattern_domain_group=random,2,2,2.0,97,12,random,a=0;b=1;c=2;lambda1=1;lambda2=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=3;b_minus_a_raw=3;b_mod_p_minus_1=4;b_raw=4;c_minus_b_mod_p_minus_1=189;c_minus_b_raw=-3;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,2,2,0.7797979797979797,193,12 16,random,c=1;a=1;b=4;lambda=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=3;b_raw=3;lambda=1;pattern_center_type=binomial;pattern_domain_group=random,2,3,0.5196428571428572,97,16,random,a=1;b=3;lambda=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=3;b_raw=3;c_minus_b_mod_p_minus_1=94;c_minus_b_raw=-2;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,2,2,0.3464285714285714,97,16,random,c=1;a=1;b=3;lambda=1
a_mod_p_minus_1=3;a_raw=3;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=4;b_raw=4;c_minus_b_mod_p_minus_1=189;c_minus_b_raw=-3;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,1,3,1.0339285714285713,193,16,random,c=1;a=3;b=4;lambda=1
a_mod_p_minus_1=2;a_raw=2;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=4;b_raw=4;c_minus_b_mod_p_minus_1=189;c_minus_b_raw=-3;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,1,2,0.7797979797979797,193,12,random,c=1;a=2;b=4;lambda=1
a_mod_p_minus_1=1;a_raw=1;b_minus_a_mod_p_minus_1=2;b_minus_a_raw=2;b_mod_p_minus_1=3;b_raw=3;c_minus_b_mod_p_minus_1=190;c_minus_b_raw=-2;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,1,2,0.6892857142857143,193,16,random,c=1;a=1;b=3;lambda=1
a_mod_p_minus_1=2;a_raw=2;b_minus_a_mod_p_minus_1=1;b_minus_a_raw=1;b_mod_p_minus_1=3;b_raw=3;c_minus_b_mod_p_minus_1=190;c_minus_b_raw=-2;c_mod_p_minus_1=1;c_raw=1;lambda=1;pattern_center_type=shifted_binomial;pattern_domain_group=random,1,2,0.6892857142857143,193,16,random,c=1;a=2;b=3;lambda=1
